project,critical,high,medium,low
spinnaker,5,26,82,746
moleculer,6,44,44,2
jaeger,0,0,27,5
cortex,8,84,518,1254
light-4j,0,8,56,42
deep-framework,0,228,139,2
pitstop,0,13,79,144
microservices-demo,9,52,174,236
lelylan,0,0,0,0
cliquet,1,6,9,4
scalecube-services,0,1,14,6
microservice-recruit,11,679,355,117
spring-boot-microservices,13,391,257,44
madao_service,38,215,327,68
cangjingge,87,425,577,588
springcloud-course,117,352,439,743
mall-cloud-alibaba,50,2039,1019,261
mall-swarm,12,61,149,82
RuoYi-Cloud,82,243,303,695
SpringCloud-MSA,96,189,238,635
Snowy-Cloud,1,139,301,139
sc,2,9,56,17
light-reading-cloud,9,428,336,65
rpush,17,226,380,74
microservice,163,609,691,896
eShopOnContainers,1,4,7,5
magento2,0,24,116,239
generator-jhipster,0,1,1,0
e-commerce-microservices-sample,13,50,57,59
goa,0,16,11,0
spring-petclinic-microservices,38,107,140,137
