name,dependency vulnerabilities,container vulnerabilities
eShopOnWeb,0,6
magento-mirror,0,0
ShoppingCart,91,0
jhipster,54,0
revel,5,0
spring-petclinic,0,3
Books-Management-System,78,0
eShopOnContainers,0,73
magento2,5,0
e-commerce-microservices-sample,12,127
generator-jhipster,0,7
goa,0,0
spring-petclinic-microservices,54,12
microservice,201,32
microservice-recruit,1061,0
springcloud-course,172,21
cangjingge,362,122
mall-swarm,188,78
spring-boot-microservices,592,0
madao_service,440,12
mall-cloud-alibaba,3063,0
RuoYi-Cloud,169,0
light-reading-cloud,894,0
SpringCloud-MSA,188,0
sc,69,0
snowy-cloud,444,0
rpush,351,0
susu713,477,0
grocery-micro-service,4240,25
